english_word,bangla_word,part_of_speech,status
"Peer","সমবয়সী; সঙ্গী","noun","APPROVED"
"People","মানুষজন","noun","APPROVED"
"Picture","ছবি","noun","APPROVED"
"Pigeon","কবুতর","noun","APPROVED"
"Pilot","পাইলট; বিমানচালক","noun","APPROVED"
"Plane","বিমান","noun","APPROVED"
"Playground","খেলার মাঠ","noun","APPROVED"
"Primary School","প্রাথমিক বিদ্যালয়","noun","APPROVED"
"Pronunciation","উচ্চারণ","noun","APPROVED"
"Public","সার্বজনীন/জনসাধারণ","adjective/noun","APPROVED"
"Question","প্রশ্ন","noun","APPROVED"
"Quick","দ্রুত","adjective","APPROVED"
"Regularly","নিয়মিতভাবে","adverb","APPROVED"
"Remove","সরিয়ে ফেলা; অপসারণ করা","verb","APPROVED"
"Rest","বিশ্রাম","noun/verb","APPROVED"
"Ripe","পাকা","adjective","APPROVED"
"Roar","গর্জন করা","verb/noun","APPROVED"
"Science fiction","সায়েন্স ফিকশন; কল্পবিজ্ঞান","noun","APPROVED"
"Selected","নির্বাচিত; বাছাইকৃত","adjective/verb (past)","APPROVED"
"Sentence","বাক্য","noun","APPROVED"
"Sew","সেলাই করা","verb","APPROVED"
"Shower","গোসল; ঝরনা","noun/verb","APPROVED"
"Sickles","কাস্তে","noun (plural)","APPROVED"
"Sleep","ঘুমানো","verb/noun","APPROVED"
"Slip","পিছলে পড়া","verb/noun","APPROVED"
"Soap","সাবান","noun","APPROVED"
"Some","কিছু","determiner/pronoun","APPROVED"
"Sometimes","মাঝে মাঝে","adverb","APPROVED"
"Song","গান","noun","APPROVED"
"Spades","কোদাল","noun (plural)","APPROVED"
"Stick","লাঠি; কাঠি","noun/verb","APPROVED"
"Stitch","সেলাই করা","verb/noun","APPROVED"
"Strange","অদ্ভুত","adjective","APPROVED"
"Stream","স্রোত; ঝরনা","noun","APPROVED"
"Stressed","চাপগ্রস্ত; জোর দেওয়া হয়েছে","adjective/verb (past)","APPROVED"
"Sunday","রবিবার","n","APPROVED"
"Swarm","ঝাঁক; ঝাঁকে ঝাঁকে চলা","noun/verb","APPROVED"
"Swim","সাঁতার কাটা","verb","APPROVED"
"Syllables","শব্দাংশ","noun (plural)","APPROVED"
"TRUE","সত্য","adjective","APPROVED"
"Tailor","দর্জি","noun","APPROVED"
"Tea","চা","noun","APPROVED"
"Tell","বলা","verb","APPROVED"
"Thanks","ধন্যবাদ","noun/interjection","APPROVED"
"That","ওটা; যে","pronoun/determiner","APPROVED"
"There","সেখানে","adverb","APPROVED"
"Things","জিনিসপত্র","noun","APPROVED"
"Think","চিন্তা করা","verb","APPROVED"
"Thursday","বৃহস্পতিবার","n","APPROVED"
"Tiger","বাঘ","noun","APPROVED"
"Toilet","শৌচাগার","noun","APPROVED"
"Tomorrow","আগামীকাল","noun/adverb","APPROVED"
"Tools","যন্ত্রপাতি; সরঞ্জাম","noun (plural)","APPROVED"
"Tube well","নলকূপ","Noun","APPROVED"
"Unhealthy","অস্বাস্থ্যকর","adjective","APPROVED"
"Vegetables","শাকসবজি","Noun","APPROVED"
"Want","চাওয়া","Verb","APPROVED"
"Weeds","আগাছা","noun (plural)","APPROVED"
"Wonderful","চমৎকার; দারুণ","adjective","APPROVED"
"Work place","কর্মস্থল","Noun phrase","APPROVED"
"X-ray","এক্স-রে","Noun","APPROVED"
"Yard","আঙিনা / উঠান","Noun","APPROVED"
"Yesterday","গতকাল","Adverb/Noun","APPROVED"
"Yo-yo","ইয়ো-ইয়ো","Noun","APPROVED"
"alphabet","বর্ণমালা","n.","APPROVED"
"be quiet","চুপ থাকা","v phr","APPROVED"
"brush teeth","দাঁত মাজা","v. phrase","APPROVED"
"building","ভবন","Noun","APPROVED"
"clap hands","হাততালি দেওয়া","v phr","APPROVED"
"come here","এখানে আসো","v phr","APPROVED"
"early","ভোরে/আগে","adv./adj.","APPROVED"
"flower pot","ফুলের টব","n","APPROVED"
"go back","ফিরে যাওয়া","v phr","APPROVED"
"go to bed","বিছানায় যাওয়া","v. phrase","APPROVED"
"habit","অভ্যাস","n.","APPROVED"
"have breakfast","নাশতা করা","v. phrase","APPROVED"
"how","কিভাবে","adv.","APPROVED"
"how many","কতগুলো","phr","APPROVED"
"instruction","নির্দেশনা","n","APPROVED"
"introduction","পরিচয়","n.","APPROVED"
"like","পছন্দ করা","v.","APPROVED"
"live","বাস করা","v.","APPROVED"
"long","দীর্ঘ","adj.","APPROVED"
"name","নাম","n.","APPROVED"
"near","কাছের/কাছে","adj./prep.","APPROVED"
"pen","কলম","n.","APPROVED"
"pleasure","আনন্দ","n","APPROVED"
"quite","খুব/সম্পূর্ণ","adv.","APPROVED"
"raise hand","হাত তোলা","v phr","APPROVED"
"sit down","বসে পড়া","v phr","APPROVED"
"stand up","উঠে দাঁড়ানো","v phr","APPROVED"
"study tour","শিক্ষাসফর","n. phrase","APPROVED"
"sure","নিশ্চিত","adj","APPROVED"
"take care","খেয়াল রাখা","v. phrase","APPROVED"
"today","আজ","n./adv.","APPROVED"
"tubewell","নলকূপ","Noun","APPROVED"
